operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted
2024-07-02,01:40 PM,02:00 PM,2024-07-03,BBPA_20240702174000.pdf,BBPA_20240702174000.xml,BBA_20240702174000.pdf,BBA_20240702174000.xml,BBR_20240702174000.pdf,BBR_20240702174000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,12,7235000000.00,1000000.00,2000000000,9,20,2000000000.00
2024-06-26,01:40 PM,02:00 PM,2024-06-27,BBPA_20240626174000.pdf,BBPA_20240626174000.xml,BBA_20240626174000.pdf,BBA_20240626174000.xml,BBR_20240626174000.pdf,BBR_20240626174000.xml,null,Liquidity Support,Nominal Coupons,2Y to 3Y,7,8723000000.00,1000000.00,2000000000,9,20,2000000000.00
2024-06-20,01:40 PM,02:00 PM,2024-06-21,BBPA_20240620174000.pdf,BBPA_20240620174000.xml,BBA_20240620174000.pdf,BBA_20240620174000.xml,BBR_20240620174000.pdf,BBR_20240620174000.xml,null,Liquidity Support,Nominal Coupons,5Y to 7Y,14,6339000000.00,1000000.00,2000000000,9,20,1864000000.00
2024-06-11,01:40 PM,02:00 PM,2024-06-12,BBPA_20240611174000.pdf,BBPA_20240611174000.xml,BBA_20240611174000.pdf,BBA_20240611174000.xml,BBR_20240611174000.pdf,BBR_20240611174000.xml,null,Liquidity Support,TIPS,1Y to 7.5Y,5,4005000000.00,1000000.00,500000000,9,20,500000000.00
2024-06-05,01:40 PM,02:00 PM,2024-06-06,BBPA_20240605174000.pdf,BBPA_20240605174000.xml,BBA_20240605174000.pdf,BBA_20240605174000.xml,BBR_20240605174000.pdf,BBR_20240605174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,20,3851000000.00,1000000.00,2000000000,9,20,2000000000.00
2024-05-29,01:40 PM,02:00 PM,2024-05-30,BBPA_20240529174000.pdf,BBPA_20240529174000.xml,BBA_20240529174000.pdf,BBA_20240529174000.xml,BBR_20240529174000.pdf,BBR_20240529174000.xml,null,Liquidity Support,Nominal Coupons,1Mo to 2Y,9,16524000000.00,1000000.00,2000000000,9,20,2000000000.00
2024-04-17,01:40 PM,02:00 PM,2024-04-18,BBPA_20240417174000.pdf,BBPA_20240417174000.xml,BBA_20240417174000.pdf,BBA_20240417174000.xml,BBR_20240417174000.pdf,BBR_20240417174000.xml,null,Small Value,TIPS,7.5Y to 30Y,12,1053000000.00,1000000.00,200000000,9,18,200000000.00
2024-04-10,01:40 PM,02:00 PM,2024-04-11,BBPA_20240410174000.pdf,BBPA_20240410174000.xml,BBA_20240410174000.pdf,BBA_20240410174000.xml,BBR_20240410174000.pdf,BBR_20240410174000.xml,null,Small Value,Nominal Coupons,1Mo to 2Y,7,2378000000.00,1000000.00,200000000,9,20,200000000.00
2024-04-03,01:40 PM,02:00 PM,2024-04-04,BBPA_20240403174000.pdf,BBPA_20240403174000.xml,BBA_20240403174000.pdf,BBA_20240403174000.xml,BBR_20240403174000.pdf,BBR_20240403174000.xml,null,Small Value,Nominal Coupons,20Y to 30Y,19,878000000.00,1000000.00,200000000,9,20,200000000.00
2023-03-30,10:00 AM,10:30 AM,2023-03-31,null,null,BBA_20230323_1.pdf,null,"BBSR_20230330_1.pdf, BBDR_20230330_1.pdf",null,BBSPL_20230323_1.pdf,null,null,null,5,91000000.00,1000000.00,null,2,5,24000000.00
2022-03-30,10:00 AM,10:30 AM,2022-03-31,null,null,BBA_20220324_1.pdf,null,"BBSR_20220330_1.pdf, BBDR_20220330_1.pdf",null,BBSPL_20220324_1.pdf,null,null,null,5,92000000.00,1000000.00,null,2,5,25000000.00
2021-04-07,01:00 PM,01:30 PM,2021-04-08,null,null,BBA_20210401_1.pdf,null,"BBSR_20210407_1.pdf, BBDR_20210407_1.pdf",null,BBSPL_20210401_1.pdf,null,null,null,4,108000000.00,1000000.00,null,2,6,25000000.00
2020-08-25,10:00 AM,10:30 AM,2020-08-26,null,null,BBA_20200820_1.pdf,null,"BBSR_20200825_1.pdf, BBDR_20200825_1.pdf",null,BBSPL_20200820_1.pdf,null,null,null,5,162000000.00,1000000.00,null,2,5,25000000.00
2019-11-20,10:15 AM,11:00 AM,2019-11-21,null,null,BBA_20191115_1.pdf,null,"BBSR_20191120_1.pdf, BBDR_20191120_1.pdf",null,BBSPL_20191115_1.pdf,null,null,null,5,12000000.00,1000000.00,null,2,5,25000000.00
2019-05-22,10:15 AM,11:00 AM,2019-05-23,null,null,BBA_20190516_1.pdf,null,"BBSR_20190522_1.pdf, BBDR_20190522_1.pdf",null,BBSPL_20190516_1.pdf,null,null,null,5,151000000.00,1000000.00,null,2,5,25000000.00
2018-11-14,10:15 AM,11:00 AM,2018-11-15,null,null,BBA_20181108_1.pdf,null,"BBSR_20181114_1.pdf, BBDR_20181114_1.pdf",null,BBSPL_20181108_1.pdf,null,null,null,5,164000000.00,1000000.00,null,2,5,25000000.00
2018-05-18,10:15 AM,11:00 AM,2018-05-21,null,null,BBA_20180510_1.pdf,null,"BBSR_20180518_1.pdf, BBDR_20180518_1.pdf",null,BBSPL_20180510_1.pdf,null,null,null,5,161000000.00,1000000.00,null,2,5,25000000.00
2017-11-15,10:15 AM,11:00 AM,2017-11-16,null,null,BBA_20171109_1.pdf,null,"BBSR_20171115_1.pdf, BBSR_20171115_1.pdf",null,BBDR_20171115_1.pdf,null,null,null,5,150000000.00,1000000.00,null,2,5,25000000.00
2017-04-19,10:15 AM,11:00 AM,2017-04-20,null,null,BBA_20170413_1.pdf,null,"BBSR_20170419_1.pdf, BBDR_20170419_1.pdf",null,BBSPL_20170413_1.pdf,null,null,null,5,365000000.00,1000000.00,null,5,5,25000000.00
2016-11-30,10:15 AM,11:00 AM,2016-12-01,null,null,BBA_20161123_1.pdf,null,"BBSR_20161130_1.pdf, BBDR_20161130_1.pdf",null,BBSPL_20161123_1.pdf,null,null,null,5,162000000.00,1000000.00,null,5,5,25000000.00
2016-04-08,10:15 AM,11:00 AM,2016-04-11,null,null,BBA_20160331_1.pdf,null,"BBSR_20160408_1.pdf, BBDR_20160408_1.pdf",null,BBSPL_20160331_1.pdf,null,null,null,5,103000000.00,1000000.00,null,5,5,25000000.00
2015-04-16,09:30 AM,10:00 AM,2015-04-17,null,null,BBA_20150409_1.pdf,null,"BBSR_20150416_1.pdf, BBDR_20150416_1.pdf",null,BBSPL_20150409_1.pdf,null,null,null,3,102000000.00,1000000.00,null,2,3,25000000.00
